company,title,product,story,quote,reasons
Mandolin,Livestream Platform Mandolin Shuts Down After Three Years,Mandolin,"Mandolin — a platform for live streaming concerts — took a bow in April 2023. The company was founded at the start of the pandemic, finding initial success as it filled the live entertainment gap during lockdowns. As pandemic restrictions eased and in-person shows resumed, the startup diversified its offering to stay relevant. It launched a number of digital services to complement the concert experience, including ticket sales, food and merch ordering, and meet-and-greets. However, the company announced its closure just one year later.","“Mandolin, a live-stream concert platform that thrived after COVID-19 put a pause on in-person experiences, quietly closed its doors on Monday amid the resurgence of live touring and concerts…
…On April 19, the company uploaded a short statement to its website and social media, providing little context as to what led to the abrupt closure.
‘After three incredible years, we are sad to announce that Mandolin will no longer be offering the digital fan experiences you’ve come to love,’ the statement reads.”","['Failure reasons:', '', 'Pandemic restrictions eased, in-person shows resumed.', 'Startup diversified to stay relevant.', 'Resurgence of live touring and concerts.', 'Little context provided for closure.']"
Goldfinch Bio,Goldfinch Bio falls from the sky after failing to find a path forward for kidney treatments,Goldfinch Bio,"Goldfinch Bio — a biotech focused on kidney treatment — closed its doors at the end of January 2023. The company showed promise in its earlier days, securing $100M in Series B funding back in 2020. However, Goldfinch faced a number of difficulties in the years that followed. For example, one of its clinical trials generated disappointing results last year and was ultimately canceled. These challenges were compounded by broader macroeconomic pressures, making it difficult for the startup to secure additional funding.","“CEO Tony Johnson and Chief Financial and Operating Officer Kyle Kuvalanka told Fierce Biotech that the company is closing up shop after failing to secure additional financing.
‘Unfortunately, we had funding challenges, just like I think the rest of the environment, particularly private companies, in the current macro environment,’ said Johnson. The two executives said the company had reduced its workforce over the course of 2022 while winding down and has been operating with a small staff.”","['Failure reasons:', '', 'Disappointing clinical trial results.', 'Difficulty securing additional funding.', 'Broader macroeconomic pressures.']"
Mindstrong,"Mindstrong sells tech assets to SonderMind, shuts down operations",Mindstrong,"Mental health treatment platform Mindstrong fully shut down at the end of March. While the company pivoted a few times over the years, it still managed to attract $160M from its founding in 2017 to 2020, when it achieved a unicorn ($1B+) valuation. Despite its fundraising efforts, it was not able to stay afloat. At the start of February, the company announced it would cease clinical services the following month and laid off more than 100 employees, including most of its C-Suite. Its full closure was marked by the sale of its technology assets and transfer of its remaining tech workforce to mental health tech company SonderMind at the end of March. Reports indicated that the company likely struggled with the macroeconomic challenges and funding slowdown faced by its other peers in the digital health space.","“Founded in 2014, Mindstrong initially focused on developing digital biomarkers to catch early signs of mental illness…
It later added virtual therapy and care services, with a focus on serious mental illness…
But the changing macroeconomic environment and slowing funding have hit a number of digital health companies, and some firms have pursued layoffs. In January, Mindstrong said it would end its patient care services in March. The company later said it would lay off 128 workers and permanently close its headquarters in Menlo Park, California.”","['Failure reasons summarized:', '', 'Funding slowdown and macroeconomic challenges.', 'Changing macroeconomic environment.', 'Slowing funding for digital health.', 'Layoffs and closure of headquarters.', 'Inability to stay afloat.']"
Aristea Therapeutics,"Faced with safety issues over inflammation drug, AstraZeneca spinout Aristea closes shop",Aristea Therapeutics,"Inflammation-focused biotech Aristea Therapeutics closed its doors in February. The company raised nearly $80M following its spinout from AstraZeneca, and its lead development program just entered Phase 2 clinical trials last November. However, in February, the company abruptly announced that it would be discontinuing the program, citing safety concerns that came to light while testing.","“Aristea Therapeutics (Aristea), a clinical-stage immunology focused drug development company advancing novel therapies to treat serious inflammatory diseases, today announced that, due to safety findings in the ongoing Phase 2 clinical trials, it has discontinued the RIST4721 development program in order to protect patient safety.
As a result of this decision, the Board of Directors has determined, after careful and extensive consideration of a range of strategic alternatives, that the appropriate business decision is to undertake an orderly conclusion of the Aristea Therapeutics business and operations and dissolve the company.”","['Failure reasons:', '', 'Safety concerns in clinical trials.', 'Discontinued development program for safety.', 'Board decided to dissolve company.']"
CODA Biotherapeutics,"Biotech pain continues as Versant, MPM gene therapy startup calls it quits",CODA Biotherapeutics,"In another blow to the biotech space, CODA Biotherapeutics — a gene therapy startup — said goodbye at the beginning of March. The company had been working on treatments for neurological diseases, like focal epilepsy, drawing funding from pharma companies, biotech VCs, and government agencies. While CODA did not publicly comment on the news of its closure, investors MPM Capital and Versant Ventures reportedly confirmed that the company had indeed closed down. The reasons driving its decision were not disclosed, however, many of its biotech peers were publicly struggling to adapt to a slowdown in venture funding.","“A gene therapy startup backed by two key biopharmas and two premier biotech VC firms has ceased operations. California biotech Coda Biotherapeutics shut down recently, investors Versant Ventures and MPM Capital confirmed to Endpoints News Tuesday night, declining to provide further details.
The upstart had presented preclinical data on its program for focal epilepsy last summer but had not provided an update since then.
MPM removed Coda from its portfolio page in recent weeks, per internet archives, and the biotech’s LinkedIn page has been wiped.”","['Failure reasons:', '', 'Lack of venture funding', 'Slowdown in biotech industry', 'Closure not publicly disclosed', 'No update on program', 'Removal from investment portfolio']"
Tascent,Market difficulties take Tascent,Tascent,"Biometric authentication startup Tascent shut down in March. Founded in 2014, the company was able to quickly attract big customers, like major airports and high-security facilities, and draw the attention of investors. One year after its founding, the company raised a $19M Series A round and then went on to raise $20M in Series B funding in 2018. Despite its early momentum, the company was unable to keep going. Tascent founder Alastair Partington alluded to some of the challenges the company might have faced in a recent blog post, including the difficulty of finding suppliers to support scaling manufacturing processes:","“Here’s the challenge that I hadn’t realized before it landed on my doorstep: you can easily get a handful of any given component to make prototypes. You can also (relatively) easily buy 100,000 of most things… indeed, orders like that start to make you very popular.
What you can’t easily do is buy quantities of the order of hundreds to few thousands… exactly the quantities that startups need in order to ramp beyond the ‘operational prototype’ stage and head towards scale. Here, you’re not buying enough to be a worthwhile account; you’re past the ‘goodwill / business development’ stage, yet you’re still existing on the promise of future volume sales.”","['Failure reasons:', '', 'Difficulty finding suppliers for scaling manufacturing.', 'Inability to buy quantities needed for startup scaling.']"
New Age Meats,Cultivated meat maker New Age Eats shuts down,New Age Meats,"New Age Meats — a cultivated meat startup — ceased operations at the end of March. Following its launch in 2017, the company made significant strides toward developing an alternative pork product and raised $32M in funding across a number of deals. However, it hit a financial rough patch after its latest round (Series A, 2021). The company took a gamble on building a pilot facility despite its alternative meat product not being ready for commercial production. After abandoning the facility and laying off employees, the company ran low on capital and high on debt, which ultimately forced it to shut down.","“Cultivated pork maker New Age Eats closed because the company no longer had enough money to keep operating, founder and CEO Brian Spears announced on LinkedIn.
The company had little money, a fair amount of debt, no new investment dollars and no immediate path to product commercialization. Given these realities, Spears said in an interview, there was no choice but to shut down the company and repay creditors.
But Spears said the shuttering of New Age Eats does not reflect problems with the premise of the cultivated meat industry — or alternative proteins in general. Instead, the company’s problems stem from the economics of being a startup in the food-tech space.”","['Failure reasons:', '', 'Financial rough patch after Series A funding.', 'Building a pilot facility prematurely.', 'Running low on capital.', 'High debt burden.', 'No immediate path to product commercialization.']"
Food Rocket,Food Rocket Shuts Down as Ultrafast Delivery Faces Reckoning,Food Rocket,"Continuing a recent startup failure trend, ultrafast delivery company Food Rocket shut down in March. Similar to the other rapid delivery startups in this report (e.g., Curb Food, Zero Grocery), Food Rocket struggled to raise enough capital to keep up with its intense burn rate. The company’s CEO cited economic challenges and turbulence in the venture arena as factors contributing to its downfall. Other rapid delivery companies, like Gopuff and Deliveroo, have recently announced layoffs, underscoring the weight of economic pressures on a business model that is high-cost and dependent on consumer spending.","“As economic pressures have many consumers reining in spending, ultrafast delivery is struggling.
Ultrafast grocery delivery firm Food Rocket, backed by convenience retail giant Couche-Tard, has shut down in a move first reported by Progressive Grocer, having burned through its funding and finding itself unable to bring in additional capital.”","['Failure reasons:', '', 'Lack of capital', 'Economic challenges', 'Turbulence in venture arena', 'High-cost business model', 'Dependent on consumer spending']"
Clim8,Sustainable investment fintech Clim8 shutters,Clim8,"Sustainable investment app Clim8 shut down at the end of March. The company was focused on helping retail consumers invest in companies and funds working to combat the climate crisis. Despite securing $20M in funding over a number of early-stage rounds, the startup was unable to continue bringing in new capital. Clim8 pointed to challenges like inflation and the venture investor pullback as inhibiting its ability to gain access to fresh funding.","“Sustainable investment fintech Clim8 is shutting down and has begun the process of closing customer accounts.
Citing ‘dramatic changes’ across the economic environment such as rising inflation, combined with a lack of appetite to invest in start-ups, Clim8 says it has been unable to secure further venture capital to continue operating.”","['Failure reasons summarized:', '', 'Lack of new capital.', 'Inflation and economic changes.', 'Venture investor pullback.', 'Lack of appetite for start-up investment.']"
TenureX,Fintech startup TenureX shuts down after funding dries up,TenureX,"Correspondent banking platform TenureX closed at the beginning of February. While the company said it had established product-market fit, it wasn’t enough to keep it from going under. In addressing the closure, the company’s CEO and co-founder highlighted macroeconomic challenges and fundraising difficulties as key challenges: ","“It is with a heavy heart that I must share the news that we had to close our doors due to a lack of funding…We have struggled to bring new investment for the past seven months, laying off great people every month, not taking a salary, and trying to respond to the rapid changes in the macro environment and in the investor risk appetite. Although we found PMF and had a working product, a great team, and clients, we didn’t make it through.”","['Failure reasons:', '', 'Lack of funding', 'Fundraising difficulties', 'Macroeconomic challenges']"
Formfunction,Formfunction to shutter marketplace amid Solana NFT slump,Formfunction,"Solana NFT marketplace Formfunction announced its closure in the middle of March, a little over a year after it was founded. While the startup did not comment on the reasons driving its decision, poor Solana NFT market performance and a drop in the price of Solana’s cryptocurrency (SOL) likely weighed heavily on the startup over the course of its relatively short lifetime.","“Since Formfunction’s launch, the wider Solana NFT space has plummeted in terms of volume and floor prices alongside a drawdown in the price of SOL…
SOL’s price has also tanked since Formfunction’s launch. At the start of 2022, SOL traded at around $100; it has now fallen over 80%, at time of writing trading around $19.”","['Failure reasons:', '', 'Poor Solana NFT market performance', 'Drop in SOL cryptocurrency price']"
Argo AI,"Ford, VW-backed Argo AI is shutting down",Argo AI ,"Autonomous vehicle startup Argo AI shut down at the end of October. Having just launched a suite of commercial delivery and robotaxi solutions the month prior, the news came as a surprise to many that had been watching Argo’s rise to prominence. In 2017, just a year after it was founded, the company emerged from stealth with a $1B capital commitment from Ford. Two years later, it entered the unicorn club with a $7.3B valuation. In the time that followed, the company reportedly found it difficult to secure new investors amid slow progress toward the commercialization of autonomous driving technology. This led Ford and Volkswagen, its main backers, to shift their strategic focus away from the startup.","“Ford said in its third-quarter earnings report released Wednesday that it made a strategic decision to shift its resources to developing advanced driver assistance systems, and not autonomous vehicle technology that can be applied to robotaxis…
…That decision appears to have been fueled by Argo’s inability to attract new investors. Ford CEO Jim Farley acknowledged that the company anticipated being able to bring autonomous vehicle technology broadly to market by 2021.
‘But things have changed, and there’s a huge opportunity right now for Ford to give time — the most valuable commodity in modern life — back to millions of customers while they’re in their vehicles,’ said Farley.”","['Failure reasons:', '', 'Slow progress in autonomous driving.', 'Difficulty in attracting new investors.', 'Shift in strategic focus.', 'Inability to bring technology to market.', ""Opportunity for Ford's advanced driver assistance systems.""]"
Faze Medicines,Third Rock-backed Faze Medicines shutters two years after launch,Faze Medicines,"Faze Medicines — a biotech startup focused on small molecule drug therapies — closed its doors at the beginning of November. The company initially maintained a focus on the development of treatments for ALS and other neurodegenerative disorders, and it then expanded to pursue cancer drug research. Despite its efforts, the drugs it developed never made their way to the clinical testing stage. And, unlike its competitors, it was not able to secure partnerships with major pharmaceutical firms. The lack of advancement led investors to pull back and the company to shutter. ","“Third Rock Ventures, one of Faze’s early investors, confirmed its shutdown. ‘While advancements were made in the company’s ALS and oncology programs since launch in late 2020, the science did not progress sufficiently to meet our bar for further investment,’ Third Rock spokesperson Cynthia Clayton, said in a statement. ‘When Faze management made the recommendation to wind down the company, we — and the board — supported that decision.’”","['Failure reasons:', '', 'Lack of clinical testing progress.', 'Inability to secure partnerships.', 'Insufficient scientific advancements.', 'Investor pullback.', 'Management decision to wind down.']"
Triplet Therapeutics,Atlas-backed gene-silencing startup winds down ,Triplet Therapeutics,"In mid-October, reports indicated that Triplet Therapeutics, a biotech focused on repeat expansion disorders like Huntington’s disease, was shutting down. Before it closed down operations, the startup had raised $59M in funding. This included $49M in Series A funding, provided in part by Pfizer, that the company planned to use to advance its development candidates and contribute to natural history studies that could be used to guide its clinical development plan. However, the lackluster performance of its peers’ Huntington’s disease trials and a broader downturn in funding to the biotech space made it more difficult for the company to secure additional funding. ","“Three years after emerging from stealth with plans to use RNA to silence disease-causing genes, Atlas Venture spinout Triplet Therapeutics is winding down its operations.
Co-founder Nessan Bermingham told the Business Journal the closure had been in the works for some time, following discouraging clinical trial data from competitors that were developing similar medications. The startup went from around 55 employees to around 12, then to a few key leaders who would stay on to ensure that the data Triplet had generated, plus an ongoing natural history study, would not go to waste.”","['Failure reasons:', '', ""Lackluster performance of peers' trials."", 'Broader downturn in biotech funding.', 'Discouraging clinical trial data.', 'Difficulty securing additional funding.', 'Closure in the works for some time.']"
Nuri,German Crypto Exchange Nuri Shuts Down,Nuri,"Nuri — a crypto bank formerly known as Bitwala — also shuttered in the middle of October. At the time of its closure, the company had more than 500,000 customers, who were asked to withdraw their funds by mid-December. Kristina Walcker-Mayer, the company’s CEO, cited the insolvency of one of its main business partners as well as macroeconomic and political complications as contributing to its downfall. While the startup initially entered into insolvency proceedings in an attempt to move forward through restructuring, it was not able to find new investors or a buyer.","“German cryptocurrency exchange Nuri has closed its business after struggling to find investors.
The Berlin-based exchange with over 500,000 customers filed for insolvency in August after ‘challenging market developments and subsequent effects of financial markets,’ the company said in an earlier statement…
…Nuri is not the only cryptocurrency exchange that has been affected by the crypto bear market — many exchanges including Coinbase, Gemini, Robinhood, Crypto.com and BlockFi have all had to cut staffing after suffering significant losses.”","['Failure reasons:', '', 'Insolvency of main partner.', 'Macroeconomic and political complications.', 'Inability to find investors.', 'Challenging market developments.', 'Financial market effects.']"
GloriFi,Neobank GloriFi shuts down following turbulent launch,GloriFi,"GloriFi — a neobank for conservatives — closed down operations at the end of November. The company’s unique positioning initially drew investor attention, and it even announced a $1.7B SPAC merger deal in July 2022. However, the startup ran into a number of issues related to product development, vendor disputes, and its workplace environment. In a statement on its website, the company cited startup missteps, economic challenges, reputation attacks, and negative media coverage as the driving forces behind its closure. ","“GloriFi, a neobank billed as a bank for the ‘anti-woke,’ is shutting down two months after its turbulent launch, according to a message posted on the platform’s website on Monday.
The platform’s closure follows an October story by the Wall Street Journal that detailed the Dallas-based firm’s chaotic start, including missed launch dates, workplace issues and vendor disputes. GloriFi founder Toby Neugebauer stepped down as CEO following the Journal report and became the firm’s executive chairman.”","['Failure reasons summarized:', '', 'Product development issues', 'Vendor disputes', 'Workplace environment problems', 'Startup missteps', 'Economic challenges', 'Reputation attacks', 'Negative media coverage']"
Fifth Season Collection,Vertical farming robotics startup Fifth Season shuts down,Fifth Season Collection,"October also saw the fall of vertical farming robotics startup Fifth Season Collection. The company’s use of robotics tech to grow greens for salad kits sold at grocery stores attracted $35M in Series A funding from Drive Capital among others. While the company did not release a statement at the time of closure, reports suggested that the startup could have struggled to raise the capital needed to support its capital-heavy operating model amid economic turbulence. ","“According to multiple sources familiar with the matter, the revenue-producing startup officially closed its doors on Friday. It employed about 100 workers, most of whom reported to its headquarters in The Highline building on the South Side while others worked out of its 60,000-square-foot indoor farming facility in Braddock.”","['Failure reason: Lack of capital for operating model. ', '', 'Summarized in 5 words or less: Capital struggle amid economic turbulence.']"
ProntoPiso,La ‘start up’ ProntoPiso echa el cierre cinco años después,ProntoPiso,"ProntoPiso — a proptech startup — started the process of closing down in the middle of October. The startup started out as a digital real estate agency with a clear mandate: it would sell a client’s property within 90 days (charging a nearly 7% commission) — otherwise, it would pay the owner 95% of the property’s market value. It secured more than $5M in equity funding in its first couple of years of existence and then pivoted to function as a platform for real estate agents. However, the pandemic hit soon after, giving rise to challenges that the company ultimately could not overcome.","“The CEO explained yesterday that he took over the management of ProntoPiso after the firm changed its business model and argued that, shortly after, the pandemic punished the start-up, which now functioned as a technological platform for real estate agents. ‘We were very close to reaching an objective that I had set myself when starting the project, but in the end it couldn’t be’, he admitted.” ","['Failure reasons:', '', 'Business model pivot', 'Impact of pandemic', 'Technological platform challenges']"
Kite,"With Kite’s demise, can generative AI for code succeed?",Kite,"AI-assisted coding startup Kite announced its closure in the middle of November. The startup, founded in 2014, was focused on leveraging AI to help developers write code and raised $21M in funding. However, a detailed account of the startup’s demise written by the company’s founder revealed 2 major factors that stood in the way of its success: the company hit the market too early and realized that its product would not monetize. In other words, a product that could help developers increase their code-writing speed by 18% wasn’t something engineering managers felt compelled to buy. While the company considered pivoting to AI-powered code search, in the end, it decided to close up for good. ","“Kite, a startup developing an AI-powered coding assistant, abruptly shut down last month. Despite securing tens of millions of dollars in VC backing, Kite struggled to pay the bills, founder Adam Smith revealed in a postmortem blog post, running into engineering headwinds that made finding a product-market fit essentially impossible.”","['Failure reasons:', '', 'Market entry too early.', 'Product lacked monetization potential.']"
Curb Food ,EQT-backat ”spökkök” lägger ned verksamheten,Curb Food ,"Building on last year’s series of food delivery startup failures, Curb Food shut down at the end of December. The company — run by co-founders with experience at Delivery Hero — operated a network of dark kitchens, i.e., locations that exclusively prepare food for delivery. From its founding in 2020 to 2021, the company brought in more than $28M in funding from investors including EQT Ventures and Point72 Ventures. However, its journey peaked in 2021 with its Series A round — a year-and-a-half later, it confirmed it would be closing down. CEO Carl Tengberg stated that the startup’s capital-intensive model proved unsustainable amid poor capital market conditions.","“In June 2021, the company raised over SEK 200 million in a financing round that valued the company at SEK 660 million…
…When DI reported on the financing round last year, the company had seven brands of food from different parts of the world, and had expanded to several Swedish cities. But now the restaurants have closed in Bolt and Foodora, and the website is down.” ","['Failure reasons:', '', 'Capital-intensive model unsustainable', 'Poor capital market conditions', 'Restaurants closed in Bolt and Foodora', 'Website is down']"
Brodmann17,Computer vision technology startup Brodmann17 has shut down,Brodmann17,"Computer vision tech startup Brodmann17 shut down at the beginning of December. The company’s goal was to create lightweight, software-based computer vision technology (free from traditional hardware requirements) that could support advanced driver assistance systems and ultimately compete with autonomous driving tech co Mobileye’s solutions. While it raised more than $16M in pursuit of its goals, it found it difficult to raise fresh capital after its Series A round in 2019. Without a much-needed injection of funding, the company was forced to close its doors despite — per a statement by CEO Adi Pinhas — having proven the technology, seeing demand, and having customers in production.","“Brodmann17 applied its technology to blind-spot wing cameras, surround and rear cameras, video telematics and even two wheelers, [Brodmann17 CEO Adi Pinhas] said.
‘The demand in the market is far more diversified than people think,’ he said. ‘We decided to take the road not taken by many other companies in the ecosystem. We just needed more time.’
The startup did attract investors during its lifetime…But the company struggled to get new funding. Even though the team was ‘very lean,’ with fewer than 30 people, Pinhas said it was impossible to continue without support from private and corporate venture capital firms. He added that ‘everyone’ is waiting for next year and for something to happen before making more investments.”","['Failure reasons:', '', 'Difficulty raising fresh capital.', 'Lack of funding injection.', 'Struggled to attract new funding.', 'Insufficient support from venture capital firms.', 'Waiting for future investment opportunities.']"
CommonBond,Student loan startup CommonBond is quietly winding down operations after the pandemic’s interest and payment pause massively hit its core business,CommonBond,"In September, student loan lender CommonBond announced that it would be shutting down. The company had fared well before the pandemic, raising more than $1.1B as of 2019. But the refinance market took a massive hit over the 2 years that followed, and the pause on student loan payments zapped the demand for solutions like CommonBond’s offering. While the company tried to pivot and expand into loans for folks that wanted to give home solar panels a go, it ultimately wasn’t able to scale and raise new funding quickly enough to make it work. ","“Student loan lending company CommonBond quietly announced it will be ‘winding down’ its operations after its core businesses saw a hit during the pandemic.
CommonBond cofounder and CEO David Klein said in a LinkedIn post that despite shifting to focus on residential solar panel loans, the impact of the student loan payment pause made it hard to continue the business.”","['Failure reasons:', '', 'Refinance market decline', 'Pause on student loan payments', 'Lack of demand for solutions', 'Inability to scale quickly', 'Difficulty in raising new funding']"
